,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
54,"343,261","350,319","351,550","347,690","344,702","341,212","344,817","344,855","343,361","311,245","291,411","258,542","267,487","387,235","367,575","351,927","330,701","326,914","321,777","321,575","314,773","307,152","306,969","308,650","309,394","303,980","292,372","290,839","297,872","301,309","304,647","308,946","308,697","305,001","288,973","308,603","337,880","351,273","353,438","360,058","441,308","414,849","386,341","371,495","361,674","356,746","362,406","364,746","361,927","373,616","384,708","397,722","405,155","412,999","429,088","442,875",,,,,,,
55,"333,926","339,842","345,972","347,723","343,427","340,419","337,044","341,462","340,997","337,679","309,511","287,580","255,630","264,004","382,709","363,553","347,713","326,980","323,337","318,588","318,529","311,365","304,094","304,291","305,889","306,689","300,978","289,880","288,676","295,660","298,874","302,764","307,094","306,793","303,026","287,486","306,487","335,916","349,162","351,974","358,612","439,459","411,310","383,898","369,869","359,702","354,197","360,353","363,161","360,173","372,187","383,248","396,172","403,867","411,759","427,953",,,,,,,
56,"327,852","330,825","335,455","341,726","343,623","339,037","336,046","332,788","337,419","335,135","330,013","305,472","283,921","251,973","260,755","378,254","358,564","343,242","322,830","319,021","315,123","314,817","307,927","300,793","301,163","302,720","303,459","298,067","287,230","286,202","293,042","296,489","300,466","304,848","304,603","300,919","285,558","304,138","333,842","346,529","349,921","355,487","436,997","408,087","381,801","367,316","357,126","351,510","358,798","361,201","358,149","370,446","381,658","394,776","402,345","410,189",,,,,,,
57,"321,431","323,914","327,103","330,867","336,795","338,088","334,233","330,987","328,348","331,914","331,185","325,036","301,547","279,548","248,382","256,937","372,856","353,370","338,571","318,175","315,300","310,736","311,122","304,185","297,356","297,508","299,084","300,159","295,018","284,321","283,415","290,416","293,949","298,059","302,363","302,186","298,567","283,549","301,846","331,432","343,954","346,771","352,037","434,973","405,213","379,159","364,560","354,545","349,458","357,164","359,232","356,445","368,622","380,163","393,423","400,779",,,,,,,
58,"313,196","316,511","319,473","322,380","325,826","331,318","333,079","328,784","325,759","322,148","327,335","326,383","319,932","296,596","274,872","244,055","252,825","366,512","348,015","333,563","313,554","310,571","306,339","307,219","300,227","293,576","293,209","295,412","296,932","291,767","281,244","280,575","287,602","291,240","295,583","300,025","299,631","296,055","281,775","299,074","329,020","341,517","343,277","348,893","433,252","401,892","376,069","361,604","352,400","347,105","355,330","356,844","354,218","366,639","378,415","391,588",,,,,,,
59,"301,430","308,097","310,277","314,408","317,075","319,239","325,052","326,624","323,274","318,975","318,000","321,366","321,206","314,146","291,465","269,972","239,805","248,253","360,607","342,385","327,928","308,462","305,695","301,994","303,222","295,836","288,963","289,154","291,787","293,392","288,276","278,462","277,497","284,527","288,443","293,031","297,466","296,884","293,507","279,767","296,317","325,809","338,837","340,056","345,950","431,074","398,005","372,728","359,120","350,116","344,537","352,851","354,248","352,170","364,674","376,664",,,,,,,
60,"289,316","295,090","302,183","304,652","308,633","307,706","313,082","317,897","320,339","316,466","312,484","312,324","315,756","315,196","308,534","286,073","265,182","235,327","244,283","354,488","336,581","322,023","303,176","300,875","297,147","298,582","290,851","284,687","285,084","287,793","289,653","284,362","274,987","274,204","281,257","285,249","290,008","294,391","293,949","290,625","277,016","293,373","322,475","335,938","336,350","341,918","426,429","394,462","369,845","356,831","347,508","341,873","350,160","351,854","350,167","362,766",,,,,,,
61,"271,002","282,417","287,605","295,372","297,565","298,478","301,095","305,970","310,814","313,007","310,976","305,604","305,788","309,056","308,496","301,862","280,577","259,329","230,669","239,363","347,647","329,982","316,289","297,969","295,620","291,934","293,259","286,121","280,341","280,734","283,429","285,267","280,195","271,811","270,786","277,967","281,931","286,998","291,531","290,827","287,481","273,594","290,102","318,898","332,869","332,247","336,515","424,000","390,863","367,118","353,665","344,488","339,038","347,741","349,645","347,996",,,,,,,
62,"243,950","264,091","274,784","280,152","288,038","288,196","291,396","294,051","298,355","302,818","305,890","303,346","298,365","298,502","302,003","301,241","295,217","274,167","253,558","225,331","232,756","340,183","323,120","310,101","292,294","289,728","286,092","288,121","281,229","275,590","276,067","278,619","280,465","275,778","267,821","266,845","274,192","278,218","283,501","288,115","287,095","283,868","269,765","286,543","315,132","329,551","326,878","332,833","421,409","387,286","363,730","350,518","341,371","336,360","345,319","347,226",,,,,,,
63,"227,478","237,147","255,978","266,802","271,925","277,695","279,943","283,685","286,294","289,994","295,648","297,610","295,551","290,470","291,256","294,121","293,783","287,753","267,545","247,307","218,956","227,347","332,227","315,658","303,540","286,037","283,095","280,295","283,006","275,915","270,465","271,076","273,403","275,494","271,220","263,627","262,803","270,180","274,419","279,861","284,293","283,285","279,810","265,593","282,783","310,929","324,801","323,186","329,205","418,803","382,951","360,339","347,330","338,724","333,812","342,576",,,,,,,
64,"217,725","219,967","229,538","248,141","258,511","262,125","268,994","271,195","275,150","277,481","281,892","287,058","289,040","287,030","282,416","282,690","286,293","285,530","280,043","260,516","240,490","213,524","221,693","323,863","307,745","296,348","278,608","276,654","274,462","277,333","270,307","264,776","265,635","268,123","270,334","266,276","259,146","258,532","266,037","270,327","275,940","280,187","279,056","275,436","261,190","278,732","305,696","321,652","319,185","325,610","415,577","378,979","356,688","344,099","335,678","330,729",,,,,,,
65,"203,085","210,105","212,613","221,995","239,632","247,614","253,660","259,909","262,558","266,071","268,656","271,898","277,194","279,142","277,435","272,970","273,479","277,129","276,778","271,660","253,602","233,745","207,548","215,907","314,801","299,254","287,775","271,551","270,023","267,845","271,129","264,138","258,748","259,872","262,543","264,762","260,902","254,827","254,227","261,716","266,519","271,031","274,879","273,854","270,774","256,040","274,425","302,034","318,439","315,708","321,178","410,888","374,775","353,009","340,422","331,974",,,,,,,
66,"193,989","195,382","201,862","204,155","214,185","228,668","238,289","243,100","250,574","251,894","256,771","258,688","262,353","267,358","268,980","267,741","263,688","264,466","268,085","268,152","263,449","245,841","226,832","201,621","209,684","305,283","292,582","279,800","264,566","262,805","260,917","263,839","257,533","252,375","253,857","256,654","258,900","255,562","249,909","249,300","257,335","261,298","265,392","269,512","269,049","265,642","251,311","270,741","297,866","315,352","311,199","317,268","406,033","370,703","348,975","336,563",,,,,,,
67,"185,015","186,496","187,449","193,334","196,039","203,455","219,387","227,767","233,167","239,876","242,126","246,073","248,514","252,199","257,350","258,499","257,842","254,089","254,951","258,858","258,703","254,391","237,822","219,650","195,314","202,967","298,155","283,456","271,436","256,884","255,237","253,257","255,970","250,446","245,728","247,424","250,425","252,835","249,599","244,844","244,557","251,999","255,684","259,857","264,398","263,891","260,828","246,920","266,696","293,907","311,420","306,951","313,085","401,139","366,002","344,726",,,,,,,
68,"177,997","176,158","178,448","178,939","184,701","185,516","194,707","208,609","217,383","221,640","229,142","231,464","235,430","237,805","241,772","246,484","247,910","247,599","244,182","245,353","249,266","248,667","245,027","229,363","212,124","188,478","195,124","287,860","274,255","262,671","248,910","247,184","245,383","248,084","243,213","238,840","240,734","244,050","246,463","243,498","239,526","239,004","246,320","249,835","254,287","258,915","258,793","256,227","242,180","262,809","289,369","306,684","302,324","308,651","395,680","361,029",,,,,,,
69,"166,748","169,701","167,105","170,257","170,549","174,379","176,788","184,812","198,565","205,740","212,113","218,015","220,585","224,213","226,607","230,596","235,594","237,072","237,026","234,454","235,528","238,766","238,653","235,349","220,460","203,916","179,990","187,779","277,386","264,361","253,524","240,181","238,729","237,240","240,033","235,674","231,655","233,936","237,251","239,762","237,683","233,441","232,728","240,136","244,060","248,308","253,398","253,891","251,196","237,541","258,169","284,257","301,597","297,435","303,869","389,759",,,,,,,
70,"155,196","157,909","160,504","158,200","162,141","160,581","166,284","167,425","175,123","187,210","195,543","200,592","206,714","209,266","213,078","215,348","219,265","224,229","226,157","226,488","223,536","224,859","228,035","228,451","225,227","211,334","194,261","172,780","180,351","266,224","253,902","243,928","231,076","229,858","228,954","231,375","227,786","224,176","226,731","230,058","233,101","231,175","226,908","226,475","234,307","238,139","242,681","248,094","248,533","246,224","232,241","253,211","278,987","296,181","292,273","298,550",,,,,,,
71,"144,215","146,876","148,351","151,793","149,437","151,095","151,919","156,087","157,110","165,172","178,712","184,127","189,155","195,058","197,793","201,266","203,950","207,588","212,704","215,078","215,883","212,375","213,949","217,322","217,688","214,645","200,821","185,841","165,460","172,444","254,761","243,352","233,986","221,919","220,995","220,052","222,699","219,904","216,279","219,306","223,043","225,750","224,261","220,123","220,116","228,111","232,084","236,873","242,514","243,234","240,410","227,020","247,889","273,383","290,461","286,665",,,,,,,
72,"135,847","135,596","137,793","139,558","142,769","139,599","142,625","142,073","145,672","146,923","152,493","167,102","172,716","177,396","183,148","185,868","189,465","192,152","195,893","201,073","203,315","203,720","200,990","202,928","206,099","206,374","203,607","191,115","177,531","157,720","164,256","242,877","232,600","223,469","212,465","211,531","211,083","213,740","211,411","208,150","211,854","215,378","217,893","216,879","213,255","213,403","221,912","225,979","230,669","236,773","237,351","234,508","221,555","242,115","267,272","284,335",,,,,,,
73,"126,524","126,923","126,168","129,359","130,042","132,030","130,444","133,001","131,991","135,178","137,535","141,731","155,620","160,372","165,858","171,235","173,965","177,245","180,242","183,997","189,376","190,605","191,376","189,422","191,474","194,393","195,211","192,495","181,509","168,509","149,907","156,901","230,850","221,603","212,960","202,547","201,886","202,005","204,506","202,571","200,099","203,683","207,222","210,007","209,586","206,170","207,007","215,608","219,484","224,392","230,545","231,232","228,348","216,099","236,273","260,737",,,,,,,
74,"116,252","116,912","117,572","117,751","120,242","120,264","122,759","119,948","122,852","121,569","125,989","127,283","131,134","143,810","148,533","153,667","158,990","161,852","164,721","168,430","171,436","176,619","178,164","179,245","177,488","179,712","182,884","183,965","181,547","171,292","159,390","141,873","149,198","218,087","210,281","202,074","192,592","192,263","192,472","194,875","193,992","191,545","195,074","198,817","202,148","202,020","199,181","200,431","208,905","212,796","217,713","224,191","224,857","222,372","210,093","230,007",,,,,,,
75,"107,249","106,522","107,579","108,884","108,523","109,335","110,779","112,396","110,247","113,173","113,815","115,758","117,018","120,557","132,230","136,894","141,891","146,730","149,645","152,803","155,060","158,965","163,898","165,840","167,000","165,245","167,723","171,200","172,777","170,216","161,136","149,779","133,514","140,984","205,590","198,739","191,042","182,383","182,086","182,573","185,593","184,834","182,685","186,479","190,724","194,047","194,541","191,869","193,518","202,127","205,743","210,965","217,282","218,364","215,612","203,808",,,,,,,
76,"97,418","99,661","96,699","98,698","100,115","98,312","100,458","100,715","102,920","100,383","104,190","103,834","105,687","106,830","109,917","121,011","125,258","130,002","134,489","138,072","141,553","142,747","146,737","151,452","153,299","154,185","153,306","156,003","159,713","160,984","159,205","150,765","140,269","124,836","133,132","192,718","186,986","180,253","171,989","171,962","173,220","175,917","175,384","173,780","177,755","182,299","185,921","186,736","184,241","186,377","194,943","198,634","203,509","210,416","210,995","208,628",,,,,,,
77,"87,721","87,519","93,214","87,876","89,747","89,411","89,873","91,304","91,512","93,087","92,433","94,826","93,923","95,932","97,164","99,795","109,928","113,727","118,144","122,920","125,895","129,512","130,705","134,615","139,039","140,489","142,346","141,571","144,609","147,873","149,506","147,748","139,559","130,349","116,312","125,027","179,697","175,417","168,993","161,395","162,216","163,104","165,885","165,811","164,821","169,064","173,616","177,548","178,595","176,340","178,995","187,360","191,081","196,226","202,447","203,267",,,,,,,
78,"78,783","78,472","77,864","87,448","79,159","80,089","81,351","80,623","82,643","82,076","84,156","83,120","85,355","84,396","86,302","87,244","90,112","98,966","102,662","107,176","111,680","114,072","117,411","118,871","122,692","126,504","128,868","130,544","130,018","132,893","136,311","137,711","136,213","129,111","120,718","107,667","117,089","167,079","163,620","157,347","151,353","152,035","152,994","155,985","156,137","155,679","160,189","164,880","168,976","170,560","168,328","171,324","179,314","183,409","188,015","194,087",,,,,,,
79,"70,305","70,044","69,073","69,439","79,907","67,669","71,683","72,521","72,345","74,052","73,596","75,032","74,008","76,375","75,244","77,037","78,159","80,599","88,378","91,960","96,699","100,415","102,691","105,996","107,394","110,505","115,314","117,357","119,123","118,415","121,363","124,892","126,311","124,971","118,656","110,898","99,198","109,518","154,000","151,913","146,568","140,931","141,654","142,860","145,855","146,779","146,707","151,161","155,799","160,306","162,073","160,485","163,156","171,376","174,775","179,601",,,,,,,
80,"61,909","61,915","60,986","61,415","61,365","68,424","61,951","63,372","64,672","64,250","65,729","65,062","66,122","65,698","67,645","66,250","68,328","69,177","71,262","78,528","82,731","85,909","89,865","92,345","95,263","96,518","100,135","103,643","105,997","107,308","107,049","110,051","113,702","114,400","113,944","107,883","101,375","91,117","101,766","141,029","140,566","135,235","130,324","131,247","132,891","136,079","137,165","137,461","141,915","146,885","151,412","153,369","151,839","154,867","162,277","165,896",,,,,,,
81,"53,510","53,706","53,167","53,659","53,822","52,689","62,419","53,907","55,607","56,667","56,767","57,808","56,834","57,876","57,579","59,184","58,312","59,773","60,715","62,611","70,080","73,069","75,865","79,720","81,881","84,488","85,839","89,207","92,697","94,508","96,187","96,337","99,294","101,957","103,427","102,821","97,416","92,063","82,989","94,125","128,965","128,938","124,012","119,643","121,076","122,953","126,280","127,567","127,892","132,643","137,671","142,281","144,171","143,293","145,722","152,996",,,,,,,
82,"45,932","45,847","45,454","46,028","46,634","45,834","45,922","57,714","46,725","48,156","49,718","49,312","50,160","49,244","50,089","49,724","51,628","50,865","51,932","52,913","54,980","60,988","63,885","66,567","70,044","71,823","74,654","75,847","79,209","81,902","83,950","85,661","85,912","88,366","91,261","92,374","92,281","87,787","82,904","74,942","87,017","116,730","116,944","112,924","109,428","111,028","113,084","116,289","117,744","118,635","123,344","128,283","132,435","134,990","133,787","136,457",,,,,,,
83,"39,331","38,623","37,853","38,487","39,360","39,111","39,305","38,696","52,927","40,066","41,535","42,692","41,992","43,048","41,814","42,742","42,626","44,408","43,529","44,578","45,209","47,396","52,530","55,430","57,720","60,768","62,687","65,281","66,453","68,861","71,966","73,923","75,775","75,820","78,198","80,669","81,885","82,253","77,953","73,834","67,272","78,902","104,564","105,187","102,225","99,407","101,186","103,230","106,590","108,390","109,283","113,935","118,502","122,882","124,667","124,118",,,,,,,
84,"32,920","32,129","31,637","31,660","32,342","32,910","33,338","32,347","32,186","48,035","34,221","35,154","36,137","35,348","36,299","34,847","36,070","36,114","37,732","36,992","37,893","38,680","40,369","44,923","47,516","49,379","52,496","54,122","56,534","57,293","59,620","62,638","64,597","65,840","66,325","68,352","70,863","72,149","72,277","68,463","65,572","60,050","70,968","92,600","93,761","92,047","89,785","91,646","93,339","97,094","98,834","99,655","103,926","109,044","112,442","114,574",,,,,,,
85,"27,226","27,133","26,594","27,163","27,437","27,014","27,365","26,924","27,024","26,948","28,629","28,322","29,125","30,157","29,460","30,348","28,893","30,109","30,150","31,879","31,149","32,083","32,760","34,139","38,017","40,058","42,106","44,702","46,337","47,868","48,776","51,142","54,097","55,247","56,858","57,172","59,261","61,691","62,528","62,893","59,699","57,602","52,561","63,356","81,309","82,968","82,152","80,143","82,011","83,994","87,567","89,415","89,881","94,559","98,571","102,258",,,,,,,
86,"21,536","21,796","21,445","21,688","21,904","21,879","22,344","21,975","22,006","21,914","23,504","23,423","22,984","23,812","24,840","24,066","25,068","23,712","24,905","24,778","25,647","25,945","26,779","27,418","28,375","31,545","33,613","35,227","37,620","38,754","40,535","41,491","43,719","45,658","47,220","48,486","48,768","50,959","52,915","53,620","54,489","51,630","50,055","45,381","55,995","70,836","72,439","72,461","70,795","72,954","74,967","78,149","79,740","81,063","84,424","88,486",,,,,,,
87,"16,366","16,854","16,836","17,150","17,159","17,077","17,742","17,597","17,643","17,584","18,373","18,952","18,777","18,655","19,179","20,114","19,671","20,569","19,002","20,324","20,079","20,992","21,363","22,112","22,653","23,241","26,043","27,655","29,322","30,885","32,056","33,984","34,915","36,341","38,601","39,554","40,812","41,360","43,123","44,808","45,785","46,583","43,878","42,689","38,879","49,178","60,737","62,765","63,096","62,180","64,219","66,193","68,707","70,905","71,190","74,887",,,,,,,
88,"12,139","12,603","12,809","13,248","13,364","13,155","13,624","13,707","13,855","13,849","14,660","14,524","15,063","14,845","14,797","15,217","16,183","15,730","16,555","15,095","16,275","16,225","16,978","17,432","18,017","18,406","18,957","21,156","22,543","23,842","25,220","26,351","28,103","28,504","30,119","31,799","32,803","34,041","34,287","35,898","37,584","38,574","39,347","36,753","35,945","32,928","42,938","51,043","53,242","54,632","53,899","55,818","57,350","60,107","61,372","62,141",,,,,,,
89,"8,844","9,183","9,410","9,860","10,115","10,062","10,299","10,316","10,581","10,670","11,458","11,594","11,266","11,771","11,463","11,413","11,938","12,804","12,364","13,443","12,511","12,925","12,922","13,614","14,013","14,400","14,825","15,193","16,878","17,769","19,209","20,393","21,594","22,670","23,436","24,396","25,910","26,975","27,780","28,108","29,739","30,973","31,856","32,656","30,319","30,023","27,509","37,194","42,216","44,656","46,501","45,993","47,477","49,451","51,143","52,736",,,,,,,
90,"6,327","6,533","6,703","7,120","7,383","7,426","7,700","7,673","7,832","7,982","8,946","9,226","9,231","9,188","9,277","9,235","9,422","9,691","10,184","10,376","10,291","10,295","10,420","10,490","10,738","11,111","11,608","12,033","12,717","13,532","14,293","15,283","16,631","17,352","18,386","19,284","20,306","21,700","22,493","23,206","24,226","25,085","26,167","27,002","27,497","26,741","25,663","24,640","29,254","36,766","39,537","39,918","39,627","41,129","42,004","43,410",,,,,,,
91,"4,409","4,601","4,689","5,029","5,283","5,330","5,597","5,637","5,690","5,800","6,564","6,803","6,869","6,877","6,924","6,927","6,918","7,126","7,508","7,801","7,682","7,633","7,792","7,906","8,099","8,256","8,685","8,956","9,225","9,545","10,290","11,275","12,158","12,797","13,693","14,295","15,025","16,061","16,968","17,688","18,450","19,005","19,908","20,863","21,620","21,835","21,592","20,332","20,641","23,657","29,289","32,456","32,431","32,927","33,467","34,744",,,,,,,
92,"2,974","3,109","3,191","3,420","3,647","3,725","3,923","4,002","4,067","4,122","4,658","4,829","4,920","5,003","5,060","5,039","5,072","5,107","5,384","5,623","5,680","5,585","5,623","5,796","5,947","6,096","6,321","6,589","6,732","6,760","7,083","7,970","8,808","9,131","9,857","10,392","10,846","11,651","12,303","13,095","13,764","14,130","14,722","15,479","16,297","16,791","17,231","16,765","16,655","16,291","18,416","23,512","25,748","26,342","26,189","27,195",,,,,,,
93,"1,961","2,024","2,087","2,243","2,392","2,499","2,659","2,736","2,832","2,877","3,251","3,366","3,398","3,494","3,582","3,566","3,578","3,657","3,754","3,942","4,007","4,009","4,006","4,084","4,267","4,372","4,549","4,665","4,816","4,820","4,882","5,321","6,038","6,432","6,824","7,255","7,682","8,184","8,688","9,222","9,907","10,280","10,587","11,149","11,825","12,379","12,916","13,035","13,385","12,831","12,396","14,416","18,164","20,367","20,487","20,793",,,,,,,
94,"1,241","1,310","1,335","1,434","1,538","1,609","1,744","1,792","1,887","1,951","2,210","2,308","2,305","2,347","2,452","2,479","2,478","2,503","2,658","2,672","2,737","2,744","2,803","2,839","2,954","3,054","3,200","3,277","3,331","3,359","3,392","3,556","3,917","4,320","4,707","4,889","5,236","5,684","5,945","6,348","6,830","7,213","7,555","7,829","8,297","8,763","9,330","9,571","10,188","10,031","9,387","9,476","10,870","14,099","15,434","15,825",,,,,,,
95,761,804,841,898,962,"1,014","1,101","1,134","1,187","1,261","1,441","1,505","1,534","1,551","1,595","1,653","1,682","1,699","1,757","1,835","1,787","1,820","1,839","1,930","1,986","2,075","2,185","2,263","2,305","2,274","2,298","2,415","2,582","2,731","3,094","3,288","3,437","3,761","4,014","4,202","4,552","4,841","5,166","5,442","5,658","5,988","6,441","6,711","7,201","7,375","7,234","6,990","6,934","8,179","10,364","11,645",,,,,,,
96,459,472,496,551,582,609,678,704,729,767,910,966,971,985,"1,023","1,034","1,085","1,108","1,156","1,192","1,205","1,157","1,196","1,244","1,339","1,353","1,432","1,495","1,545","1,528","1,508","1,592","1,709","1,754","1,880","2,095","2,241","2,397","2,590","2,762","2,948","3,135","3,334","3,612","3,822","3,972","4,274","4,458","4,889","5,076","5,183","5,220","4,949","5,036","5,817","7,564",,,,,,,
97,253,275,285,317,344,356,394,422,442,460,551,597,599,601,626,641,660,688,737,777,764,778,748,783,832,894,927,959,988,988,"1,001","1,019","1,084","1,112","1,174","1,229","1,377","1,531","1,601","1,715","1,850","1,969","2,112","2,265","2,490","2,583","2,713","2,847","3,149","3,362","3,435","3,587","3,595","3,496","3,499","4,118",,,,,,,
98,131,155,170,175,190,207,223,240,265,273,317,347,361,371,363,373,387,407,443,475,498,480,491,484,508,534,603,602,611,622,629,663,675,676,735,751,792,919,"1,000","1,016","1,105","1,178","1,294","1,396","1,499","1,612","1,706","1,730","1,961","2,106","2,210","2,302","2,367","2,473","2,348","2,402",,,,,,,
99,79,79,93,98,99,109,125,135,149,152,171,190,208,217,221,207,225,243,254,274,282,304,313,310,305,317,357,388,372,378,379,398,429,425,435,466,475,508,578,627,643,685,746,839,890,967,"1,035","1,065","1,162","1,274","1,354","1,430","1,484","1,587","1,606","1,587",,,,,,,
100,47,43,45,54,55,57,65,72,82,83,92,99,109,121,125,139,125,136,145,149,158,165,189,188,193,196,209,223,239,215,218,235,249,257,267,258,278,300,303,350,391,385,416,465,522,563,613,621,686,724,776,859,888,961,"1,009","1,034",,,,,,,
101,23,21,22,24,30,30,31,33,37,45,51,46,49,59,67,70,75,70,78,81,80,82,98,105,111,119,119,128,134,134,127,129,139,143,156,158,148,168,169,169,208,226,217,236,277,307,344,358,385,403,421,472,514,557,594,623,,,,,,,
102,13,11,11,11,11,14,15,13,14,21,28,26,25,25,29,36,38,43,38,44,45,42,47,57,61,64,69,69,74,77,78,74,77,78,84,85,83,75,91,94,98,121,121,123,137,159,178,188,215,225,223,245,279,308,338,360,,,,,,,
103,5,7,7,6,4,4,7,8,6,7,15,16,14,13,14,15,22,21,24,22,24,21,21,24,31,40,40,39,39,39,42,47,42,41,41,44,42,43,43,52,50,53,66,67,69,76,94,96,105,127,130,130,140,166,179,201,,,,,,,
104,2,2,3,3,3,2,2,4,4,3,5,6,6,5,7,7,8,10,11,15,11,10,10,12,13,18,24,23,22,20,19,25,27,20,21,20,22,23,25,26,31,29,29,35,36,39,45,52,51,58,71,72,72,79,95,105,,,,,,,
105+,2,4,7,6,6,6,4,3,3,2,4,4,5,8,7,6,5,5,10,13,16,12,11,9,10,16,20,24,25,24,23,25,24,26,23,16,14,21,24,25,26,25,28,32,39,38,40,42,50,56,65,78,81,84,89,104,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"25,528,042","25,826,468","25,991,742","26,190,606","26,367,798","26,511,065","26,673,400","26,794,191","26,907,777","26,991,476","27,167,319","27,259,412","27,331,657","27,348,746","27,361,012","27,360,410","27,344,975","27,329,551","27,373,278","27,411,125","27,411,585","27,363,571","27,371,429","27,420,625","27,488,765","27,541,922","27,598,860","27,651,624","27,728,836","27,818,539","27,909,002","27,976,849","28,039,273","28,108,331","28,203,701","28,287,144","28,371,035","28,458,360","28,578,474","28,690,450","28,832,264","28,972,747","29,125,318","29,296,969","29,540,981","29,761,579","30,027,882","30,300,623","30,532,212","30,805,493","31,097,259","31,315,222","31,533,021","31,793,752","32,074,445","32,377,674",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
