,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,,,
12,"427,147","409,373","397,523","383,806","392,096","397,274","388,503","401,870","414,483","427,119","433,399","443,788","459,193","468,475","477,940","491,895","493,151","478,909","478,092","462,718","459,280","442,858","445,406","420,102","396,688","369,605","357,615","344,587","330,331","335,629","364,362","377,014","374,347","367,808","367,813","370,043","386,347","384,983","390,342","400,521","395,515","399,364","407,892","401,092","391,743","391,487","383,295","386,033","388,503","379,513","376,524","366,797","357,270","350,585","358,439","370,934",,,,,,,
13,"460,879","427,653","408,734","396,627","382,479","390,266","396,716","389,527","403,479","415,395","424,270","433,069","444,345","459,461","468,505","478,471","492,527","494,414","480,231","477,923","462,889","457,672","441,410","444,037","420,517","397,287","369,969","357,786","344,903","330,896","336,326","364,222","376,873","374,490","367,832","367,856","370,731","387,543","385,473","390,985","400,912","394,660","399,704","407,911","401,357","392,176","393,545","384,641","388,725","390,716","381,599","378,160","368,245","359,217","352,759","360,714",,,,,,,
14,"491,891","462,226","426,943","406,561","395,894","382,959","389,742","398,549","390,941","404,719","414,645","424,498","433,059","444,614","459,620","469,205","479,359","493,329","495,786","481,491","478,901","461,393","456,404","440,326","443,286","421,073","397,441","370,031","357,836","345,668","331,472","336,008","364,030","377,055","374,697","368,156","367,760","371,317","388,480","385,763","391,655","398,809","394,126","398,982","408,281","400,784","393,062","395,096","386,595","391,220","392,835","383,383","379,818","370,451","361,698","355,305",,,,,,,
15,"401,820","494,719","460,148","425,491","407,369","393,988","387,038","394,336","403,358","393,706","406,437","414,272","424,390","433,095","444,750","459,871","469,413","480,047","494,805","496,782","481,892","477,819","460,812","456,209","440,143","442,676","421,255","397,669","370,561","358,885","346,593","331,314","335,945","364,014","377,189","375,001","368,738","368,285","371,965","388,092","387,827","389,791","398,611","394,236","399,985","411,039","402,966","395,569","398,942","390,167","395,133","394,406","385,034","382,178","373,264","364,968",,,,,,,
16,"394,587","401,426","495,472","459,759","425,911","406,624","396,313","385,428","395,401","402,323","391,494","403,770","412,467","423,207","431,127","443,322","458,584","469,334","480,058","494,405","496,822","482,785","478,861","461,610","457,135","441,081","442,963","422,464","399,326","373,236","361,836","345,821","330,770","335,452","363,635","377,001","375,209","368,738","368,642","372,243","391,529","388,028","388,738","398,441","395,194","402,603","413,952","405,139","399,090","403,444","394,082","396,729","395,915","387,370","385,048","376,563",,,,,,,
17,"390,610","393,486","400,993","497,202","458,224","423,439","407,475","395,308","385,163","393,532","398,325","389,609","401,909","410,750","421,318","429,446","441,745","457,183","469,646","480,322","494,488","501,456","486,030","476,137","460,614","455,455","440,033","440,983","421,930","399,938","373,556","359,114","344,844","330,088","334,665","363,457","377,033","375,207","369,382","368,023","376,045","391,877","388,943","387,469","398,467","398,027","406,310","416,372","409,293","403,073","408,483","396,082","398,709","399,245","391,202","389,347",,,,,,,
18,"373,117","389,154","385,905","393,587","491,756","447,715","420,034","403,616","392,691","382,228","392,033","396,801","386,663","399,139","410,664","421,689","429,216","441,204","457,549","469,727","479,943","494,547","498,250","478,353","474,432","458,523","453,808","438,010","438,599","421,923","399,529","370,105","355,673","340,735","325,317","328,816","356,389","369,144","367,957","360,375","366,116","378,430","394,524","391,025","387,827","402,851","402,467","409,924","422,883","415,042","409,760","410,866","398,061","402,795","403,985","396,213",,,,,,,
19,"336,800","371,281","384,686","381,149","387,410","485,453","446,096","419,521","400,918","393,382","387,303","393,417","396,713","386,472","400,431","412,188","422,149","429,551","442,580","459,359","470,847","481,182","495,007","493,273","477,697","473,856","458,597","453,584","437,176","439,297","423,364","395,860","366,197","350,527","336,157","319,054","322,006","348,096","361,435","360,922","357,997","372,175","383,937","399,248","395,970","395,357","409,739","408,051","416,483","432,313","424,096","414,805","415,588","405,080","410,770","412,473",,,,,,,
20,"318,825","338,682","367,576","382,509","378,364","388,137","482,802","441,198","415,422","402,691","398,212","389,884","395,706","398,784","389,205","403,851","414,488","423,727","431,610","445,581","461,625","468,931","479,580","491,660","491,180","475,412","472,142","456,517","451,680","436,826","437,341","422,297","398,187","370,417","357,244","344,779","330,487","335,561","359,060","373,039","372,326","360,793","373,611","387,809","403,656","399,552","399,663","412,343","408,573","425,313","442,154","428,641","419,446","423,195","414,063","420,121",,,,,,,
21,"325,143","321,911","336,156","368,524","384,462","382,312","386,589","485,501","442,241","418,617","406,065","398,121","390,395","395,657","398,499","391,121","404,902","414,984","424,560","432,334","446,589","457,594","467,237","479,568","490,560","489,136","474,556","470,688","455,974","451,695","435,884","436,625","421,664","396,888","370,378","357,141","345,410","331,749","336,043","357,911","373,934","375,955","364,696","380,626","394,665","409,304","407,224","401,547","412,856","419,067","436,928","446,454","433,015","426,003","431,038","422,155",,,,,,,
22,"328,455","327,804","319,077","336,956","370,280","385,771","381,755","386,170","488,493","444,375","420,130","405,927","397,718","390,183","394,485","399,564","392,106","403,663","415,802","424,993","433,582","440,168","455,500","466,906","478,194","487,516","486,852","471,845","468,985","454,912","449,859","434,746","435,997","420,685","397,135","370,552","357,333","346,406","333,747","337,538","360,485","378,960","380,154","374,813","390,129","401,191","418,773","412,839","402,939","424,133","431,718","442,113","450,644","439,199","433,886","439,167",,,,,,,
23,"333,822","336,053","334,035","320,042","338,821","372,653","386,268","381,252","387,102","489,709","447,176","419,814","406,193","397,109","389,536","395,455","398,670","389,946","402,677","413,076","422,048","425,948","436,896","456,834","465,464","475,672","485,257","483,367","468,466","467,344","453,097","447,971","433,134","434,055","420,490","396,725","370,328","357,377","348,844","336,437","342,457","366,232","383,922","390,750","386,454","398,818","412,288","424,834","415,746","413,314","436,069","436,112","446,087","456,303","446,514","441,826",,,,,,,
24,"333,367","343,226","341,729","340,373","322,078","342,119","372,686","386,642","381,679","387,379","489,364","446,871","418,412","405,774","395,269","388,822","394,175","396,870","388,831","400,725","407,976","414,415","422,078","438,355","456,375","463,513","473,646","481,916","479,402","468,799","465,385","451,252","445,879","431,024","433,373","419,717","396,120","369,705","359,755","351,659","342,750","348,145","371,626","395,603","402,316","396,861","410,931","417,962","427,450","427,114","423,165","438,518","438,115","449,819","462,222","453,162",,,,,,,
25,"332,643","339,654","343,322","343,864","341,364","325,008","342,069","371,649","385,587","381,064","388,770","489,608","446,094","417,551","404,493","394,085","386,371","391,882","394,839","386,091","396,882","399,864","410,300","423,418","437,502","455,007","461,420","470,274","478,555","479,772","465,881","464,089","449,701","444,350","431,661","434,141","419,549","396,635","373,304","365,353","357,748","349,971","353,523","377,445","404,961","409,490","406,740","418,272","417,695","429,962","433,531","425,693","440,777","441,942","455,341","468,437",,,,,,,
26,"329,700","336,541","339,206","342,759","342,673","343,103","324,819","339,649","370,507","385,600","382,244","387,832","487,892","445,172","416,693","403,957","392,555","384,488","390,542","391,597","382,479","390,742","397,140","411,547","422,670","436,022","454,064","458,666","467,937","477,798","476,401","464,684","462,885","448,888","445,556","432,331","433,846","419,568","399,561","378,190","371,042","363,786","355,182","358,315","386,436","412,470","418,602","414,984","418,907","419,887","435,689","434,997","428,079","444,300","446,764","460,896",,,,,,,
27,"322,714","332,795","335,396","338,781","341,878","344,452","342,875","321,974","337,785","369,816","385,667","382,611","386,538","486,916","444,794","416,228","402,565","390,978","383,141","389,406","387,765","378,323","389,672","398,433","411,596","421,572","434,876","452,229","457,243","466,930","475,334","474,236","463,608","462,403","450,180","445,866","432,156","434,155","422,494","404,296","383,809","376,588","368,599","359,831","366,241","394,060","421,907","426,404","417,130","422,058","425,126","437,079","437,077","430,844","448,965","452,199",,,,,,,
28,"327,303","325,453","330,576","334,640","337,703","343,238","344,095","340,859","319,049","335,936","368,551","384,934","381,796","385,264","486,422","443,950","414,375","401,319","390,063","380,883","386,221","383,902","377,436","390,584","398,219","410,604","420,291","432,739","450,829","456,440","465,058","472,213","472,011","462,953","463,689","451,212","445,436","432,021","436,513","426,637","408,912","389,098","381,226","372,664","367,762","372,961","403,371","430,303","428,595","421,783","428,262","425,550","438,543","439,341","434,633","453,723",,,,,,,
29,"335,901","330,221","323,012","329,229","332,957","338,814","342,651","342,697","338,079","316,473","337,440","367,874","384,746","380,150","384,270","485,605","442,310","412,809","400,129","388,561","377,941","382,264","382,740","378,256","390,124","397,215","409,379","418,025","431,849","450,553","454,073","462,933","470,059","471,193","463,966","464,142","451,270","445,603","434,274","440,461","430,324","413,536","393,506","384,936","379,587","373,910","380,791","411,457","433,032","432,716","428,925","428,918","427,226","440,786","443,500","439,588",,,,,,,
30,"344,278","339,717","327,729","322,609","328,295","336,020","339,366","342,315","341,155","336,016","317,525","336,810","367,242","383,275","378,693","383,139","483,914","440,738","412,279","397,916","385,920","374,239","380,893","383,347","378,319","389,580","396,511","408,088","417,748","430,791","449,767","451,927","460,892","468,430","471,350","464,778","464,199","450,912","447,247","437,589","443,470","430,688","414,418","394,515","388,188","382,094","376,420","386,360","416,967","434,054","434,468","428,618","430,041","428,785","443,494","447,143",,,,,,,
31,"338,950","346,602","337,802","326,140","320,942","331,136","335,402","337,981","340,170","338,561","336,791","316,771","336,292","366,127","381,912","377,547","381,878","482,380","440,221","410,867","395,409","382,700","372,952","380,866","383,215","377,550","388,846","395,103","407,568","416,052","429,763","447,092","450,223","459,782","468,178","471,216","464,665","464,235","452,642","450,337","440,882","443,890","431,590","415,573","397,487","390,067","384,108","381,179","390,374","418,092","436,318","434,272","429,646","431,942","431,902","446,994",,,,,,,
32,"338,404","341,712","344,734","336,646","324,219","323,583","330,196","333,434","336,025","337,469","339,539","335,634","315,560","335,164","364,630","380,891","376,526","380,513","481,843","438,832","409,390","392,704","381,367","372,715","380,761","382,554","376,891","387,625","394,805","406,809","415,327","427,861","444,671","448,943","459,478","468,093","470,759","464,430","465,348","454,765","452,373","441,416","444,964","432,809","418,452","399,543","391,787","388,296","385,156","390,862","420,578","435,420","434,707","430,806","434,309","434,760",,,,,,,
33,"336,557","340,405","340,539","343,735","335,157","327,741","322,954","327,532","331,184","333,403","339,006","337,768","334,948","314,109","333,921","363,246","379,734","375,038","380,208","480,382","435,929","406,725","392,038","381,344","372,771","380,230","382,114","375,901","387,751","394,133","406,351","415,059","426,601","443,263","449,022","459,603","467,413","470,351","465,359","467,598","457,001","452,352","441,678","445,924","435,264","420,175","401,118","395,507","391,623","385,723","392,479","419,307","435,306","435,563","432,286","436,208",,,,,,,
