,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
age,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,,,,,
56,"355,124","355,805","359,650","365,921","368,041","364,182","363,328","354,666","361,673","360,921","357,145","328,486","306,008","273,418","281,635","405,054","384,345","362,894","341,351","336,129","328,066","326,490","318,668","312,470","313,367","316,743","312,937","303,263","293,037","289,893","295,963","301,425","304,497","309,202","310,596","306,622","292,621","310,094","339,442","351,658","356,736","363,024","445,227","417,051","389,331","377,160","365,814","359,955","365,945","369,575","366,310","377,901","390,486","403,730","412,272","420,237",,,,,
57,"351,829","352,826","354,053","357,166","363,314","364,887","361,579","360,536","351,529","357,535","359,999","354,694","325,863","303,296","271,089","279,371","402,092","381,388","360,251","338,784","332,926","325,768","324,216","316,592","310,444","311,439","314,676","310,908","301,350","291,044","288,134","294,369","299,870","302,990","307,569","309,193","305,218","291,406","308,737","338,098","349,997","354,814","359,918","443,755","414,283","387,678","375,745","363,464","358,689","364,964","368,363","365,141","376,725","389,644","403,022","411,466",,,,,
58,"343,934","348,303","351,078","351,708","354,381","359,788","361,735","358,617","357,563","347,061","355,486","357,592","351,765","323,143","300,611","268,758","277,300","398,486","378,403","357,599","336,305","330,117","323,341","322,006","314,370","308,274","309,154","312,492","308,994","299,016","289,062","286,558","292,567","298,238","301,298","305,971","307,430","303,720","290,349","307,241","336,447","348,908","351,865","357,232","442,247","411,939","386,096","373,354","362,162","357,142","363,886","367,178","364,023","375,842","388,841","402,231",,,,,
59,"332,492","340,445","344,978","348,597","349,154","350,757","356,819","358,652","355,329","353,566","345,781","352,262","354,454","348,443","320,044","297,730","266,487","274,598","395,093","375,258","354,605","333,434","327,614","320,842","319,617","311,964","305,639","306,690","310,280","306,801","296,688","287,311","284,699","290,797","296,493","299,602","304,239","305,728","302,133","289,028","305,414","334,679","346,564","349,153","354,375","441,044","409,779","383,406","371,823","360,709","355,428","362,635","366,038","363,106","375,037","387,935",,,,,
60,"323,602","328,781","337,538","342,029","346,090","344,814","347,148","353,257","355,310","351,615","348,010","342,306","348,988","350,904","344,904","316,933","294,930","263,721","272,146","391,556","371,287","351,005","330,559","324,614","318,126","316,897","309,269","303,049","304,196","307,696","304,425","294,760","285,582","283,040","289,077","294,692","297,941","302,346","303,959","300,895","287,717","303,747","332,806","344,783","346,084","351,310","439,131","407,327","381,352","369,744","358,822","353,922","361,276","364,916","362,126","374,008",,,,,
61,"317,338","321,949","325,123","334,177","338,270","340,843","341,065","343,512","349,266","351,506","348,993","343,821","339,051","345,201","347,359","341,430","313,659","291,675","261,014","269,148","388,185","367,191","347,361","327,595","321,651","315,218","313,870","306,327","300,413","301,334","304,990","301,964","292,650","283,934","281,294","287,296","292,657","296,324","300,591","302,433","298,822","285,504","302,140","330,523","342,210","343,075","348,035","437,643","404,557","379,108","367,560","357,263","352,401","360,027","363,721","360,968",,,,,
62,"307,940","314,499","321,517","321,214","329,839","333,705","336,765","337,251","339,283","344,627","347,210","344,461","339,630","335,106","341,463","343,478","337,418","310,074","288,268","258,190","265,715","383,304","362,829","343,669","324,259","318,319","311,934","310,616","303,242","297,365","298,348","301,968","299,097","290,148","281,734","279,098","285,011","290,413","294,257","298,719","299,836","296,536","283,212","300,061","327,531","339,904","339,863","345,373","435,951","401,600","376,850","365,915","355,692","351,197","358,762","362,507",,,,,
63,"298,529","303,112","311,806","319,377","316,746","324,726","328,801","332,592","332,835","334,529","340,976","342,598","339,870","334,945","330,936","337,180","339,084","333,283","306,289","284,256","254,118","262,123","378,319","358,431","339,584","320,608","314,387","308,435","307,214","299,889","294,156","295,406","298,818","296,185","287,502","279,539","276,823","282,818","288,179","292,435","296,174","297,471","294,152","280,516","297,162","324,585","337,348","337,232","342,431","434,049","398,568","374,957","364,021","354,244","349,821","357,300",,,,,
64,"291,481","292,670","298,619","308,339","315,968","311,449","319,706","323,335","327,598","327,743","330,021","335,818","337,339","334,871","329,955","326,128","332,396","334,594","328,414","302,275","279,685","250,596","258,305","373,173","353,642","335,324","316,405","310,482","304,793","303,329","296,354","290,649","292,201","295,344","293,235","284,888","277,236","274,648","280,608","286,054","289,981","293,604","295,052","291,333","277,047","294,434","321,415","335,239","334,336","339,280","432,033","396,151","372,818","362,436","352,668","348,157",,,,,
65,"279,714","285,321","286,908","292,921","304,355","306,701","306,603","314,822","318,879","322,904","322,538","324,507","330,101","331,738","329,365","324,242","321,085","327,405","329,174","323,671","297,432","275,261","246,716","254,663","367,752","348,521","329,953","312,095","306,397","300,555","299,189","292,600","286,749","288,700","291,767","289,794","281,669","274,484","271,933","278,366","283,306","287,079","290,901","292,026","288,338","272,705","291,389","318,991","333,027","331,257","336,197","429,082","393,561","370,561","360,410","350,494",,,,,
66,"271,683","274,134","279,858","280,318","288,568","296,451","301,950","301,142","309,745","312,430","318,706","316,937","318,401","324,070","325,640","323,129","318,678","316,026","321,902","323,972","317,383","292,660","270,894","243,094","250,594","361,772","344,322","324,951","307,764","301,767","296,361","294,947","288,452","282,641","284,817","287,936","286,105","278,457","271,675","269,392","275,401","280,183","283,973","287,792","288,850","284,354","269,342","288,937","316,098","330,542","328,008","333,527","425,759","390,849","367,768","357,795",,,,,
67,"261,918","265,731","268,464","273,470","274,933","282,339","291,058","297,973","295,410","302,813","306,463","312,562","310,892","312,154","317,711","319,161","316,999","312,594","310,321","316,310","317,474","311,539","287,366","266,335","238,969","246,191","357,227","338,404","319,638","302,818","297,087","291,629","290,354","284,042","278,417","280,699","283,804","282,251","274,917","268,637","266,132","272,148","276,936","280,556","284,477","284,384","280,462","266,447","286,216","312,909","328,059","325,175","330,750","422,567","387,904","364,939",,,,,
68,"254,902","254,344","259,809","262,094","267,649","269,099","276,049","285,891","292,896","287,937","296,521","299,545","305,821","304,150","305,148","310,698","312,641","310,298","306,081","304,678","309,736","310,867","305,362","282,312","261,490","234,599","241,093","350,415","332,435","313,648","297,699","292,015","286,812","285,717","279,618","273,708","276,503","279,586","278,239","271,651","265,695","262,670","268,842","273,053","276,788","279,977","280,576","277,305","263,086","283,333","309,628","324,940","322,121","327,926","418,856","384,525",,,,,
69,"243,514","247,151","246,188","252,793","256,210","260,874","262,110","269,191","279,821","285,728","282,669","289,230","292,228","298,479","297,025","297,798","303,683","305,561","303,570","299,548","298,409","302,370","304,223","299,123","276,677","256,360","229,057","236,057","343,464","325,612","307,610","291,997","286,522","281,760","280,533","274,613","268,736","271,922","275,007","274,232","267,718","261,567","258,870","264,969","269,088","272,139","275,892","277,115","273,796","259,507","280,193","306,294","321,488","319,002","324,703","414,713",,,,,
70,"232,208","234,527","238,338","238,881","246,771","248,609","253,846","254,664","261,657","272,001","278,978","275,274","281,335","284,432","290,676","289,203","290,436","296,074","297,896","296,370","292,303","291,009","295,119","297,132","292,210","270,664","249,765","224,141","230,871","335,679","318,548","301,234","285,971","280,678","276,064","274,882","269,151","263,565","267,001","270,186","269,635","263,357","257,282","254,711","260,995","264,425","267,844","272,067","273,396","269,763","255,756","276,845","302,609","317,842","315,276","321,010",,,,,
71,"220,453","224,408","225,680","231,132","231,321","238,700","240,985","245,898","245,885","254,454","267,810","270,452","267,196","273,064","276,274","282,381","281,353","282,558","287,923","290,497","288,771","284,217","283,590","287,613","289,604","284,936","263,545","243,822","218,876","225,413","327,844","311,483","294,528","279,288","274,306","269,790","268,825","263,499","258,084","261,725","264,955","264,589","258,687","252,567","250,333","256,222","259,904","263,653","267,912","269,350","265,689","252,330","273,294","298,893","313,740","311,262",,,,,
72,"213,109","212,640","216,849","217,435","223,045","224,344","230,561","232,751","236,940","237,508","242,628","258,455","261,197","258,444","264,320","267,466","273,583","273,039","273,892","279,640","282,586","279,861","275,877","275,772","279,551","281,637","277,101","256,996","237,656","213,253","219,553","318,626","303,889","287,269","272,456","267,698","263,324","262,539","257,395","252,237","256,243","259,380","259,108","253,423","247,517","245,350","251,486","255,576","259,087","263,510","265,109","261,671","248,579","269,375","294,594","309,430",,,,,
73,"203,489","204,842","204,071","209,101","208,819","214,742","215,375","221,989","223,626","228,046","229,387","233,266","248,663","251,493","249,101","254,904","258,335","264,579","263,776","264,898","271,451","272,859","270,793","267,403","267,244","270,752","273,247","268,980","250,105","230,915","207,322","214,238","308,931","295,715","279,610","264,983","260,459","256,479","255,578","251,081","246,193","250,073","253,461","253,148","248,038","241,723","240,251","246,873","250,689","254,262","258,902","260,631","257,212","244,666","265,034","289,868",,,,,
74,"191,328","193,642","196,488","195,488","200,294","200,645","205,278","205,139","212,203","214,135","219,431","219,702","223,156","238,286","241,342","238,998","245,068","248,706","254,491","254,387","255,157","261,395","263,229","261,455","258,216","258,172","261,304","264,430","260,642","242,464","223,981","200,623","208,687","298,461","287,069","271,237","257,102","252,996","249,020","248,391","244,455","239,618","243,605","247,125","246,869","241,884","235,911","235,142","241,796","245,570","249,269","254,319","255,845","252,639","240,147","260,201",,,,,
75,"179,869","180,506","183,442","187,440","185,615","188,842","190,885","194,600","195,491","202,988","205,982","209,110","209,333","213,023","227,543","230,257","229,050","234,944","238,233","244,379","243,840","244,894","251,134","253,089","251,475","248,267","248,419","251,782","255,308","251,564","234,492","216,074","193,566","202,678","287,851","277,816","262,506","249,046","244,980","241,195","241,104","237,026","232,715","236,461","240,314","240,046","235,686","230,111","229,623","236,510","240,152","244,028","248,997","250,774","247,443","235,265",,,,,
76,"166,068","173,915","169,479","173,882","178,123","175,225","178,355","179,522","184,444","183,975","191,694","195,226","198,296","198,620","202,060","216,226","219,215","218,401","224,068","227,461","233,136","232,862","234,338","240,653","242,237","240,623","237,698","238,574","241,866","245,315","242,200","225,436","207,701","186,205","196,346","276,519","268,138","253,365","240,205","236,387","233,476","232,874","229,048","225,314","228,972","233,014","232,929","229,357","223,786","223,803","230,838","234,702","238,320","243,557","244,995","241,909",,,,,
77,"151,212","155,254","168,169","159,387","163,886","166,603","166,166","169,677","168,984","173,130","175,582","180,598","184,317","187,192","187,347","190,840","204,657","207,612","206,938","212,941","216,136","221,379","221,830","223,478","229,552","230,883","229,619","227,234","228,353","231,144","235,007","231,911","215,290","198,937","178,526","189,321","264,634","258,098","243,760","230,837","227,778","224,875","224,284","220,687","217,614","220,996","225,578","225,824","222,600","217,331","217,548","224,860","228,487","232,445","237,101","238,785",,,,,
78,"138,926","140,333","144,217","160,924","148,976","152,624","157,453","155,372","159,925","157,384","164,973","164,464","169,362","173,010","175,607","175,691","179,329","192,850","195,530","195,596","201,094","204,098","209,656","210,373","212,307","217,889","219,160","218,528","216,695","217,234","220,303","224,011","221,185","205,579","190,109","170,221","182,019","252,523","247,295","233,775","221,789","218,404","215,723","215,100","212,061","209,232","213,018","217,748","218,204","215,637","210,464","211,092","218,098","222,256","225,678","230,502",,,,,
79,"126,058","127,553","129,039","133,910","152,895","138,454","142,836","146,635","144,835","148,478","150,051","153,323","152,843","157,744","161,327","163,718","164,199","168,024","180,238","183,413","183,583","188,706","192,233","197,673","198,572","200,327","205,726","207,301","207,112","204,919","205,940","209,056","212,856","209,808","195,147","180,539","161,574","174,690","239,387","235,798","223,737","212,035","208,388","205,981","205,552","202,954","200,776","204,793","209,514","210,303","208,013","203,437","203,851","211,352","214,988","218,672",,,,,
80,"115,471","114,720","115,878","118,528","123,253","136,663","127,757","131,116","135,455","132,916","135,958","138,579","141,561","141,219","145,825","149,021","151,432","152,148","155,827","167,289","171,060","172,911","177,671","181,006","185,563","185,745","187,976","193,452","195,040","194,434","192,895","194,298","197,423","200,712","198,282","184,006","170,355","152,885","167,051","225,722","224,557","212,400","201,292","198,137","195,939","195,969","193,497","192,044","195,826","200,901","201,865","200,133","195,590","196,702","203,186","207,307",,,,,
81,"101,757","104,036","103,482","105,847","108,424","112,161","127,870","116,303","120,247","124,538","122,728","124,627","126,704","129,776","129,127","133,424","137,161","139,373","139,582","144,074","156,081","158,170","160,026","165,116","167,983","172,393","173,073","175,697","180,959","181,742","181,964","180,716","182,172","184,874","188,381","185,783","172,508","160,294","143,712","158,757","212,119","212,706","200,563","190,187","187,292","185,686","185,871","183,701","182,674","186,673","192,095","193,053","191,376","187,782","188,243","194,940",,,,,
82,"87,787","90,533","92,202","93,448","95,652","97,353","101,663","119,425","105,122","108,890","112,501","111,307","113,119","115,201","117,867","117,066","121,449","125,199","126,804","127,543","131,969","142,999","145,185","147,348","152,181","154,498","159,171","160,218","163,138","167,534","168,634","169,326","168,222","169,370","172,357","175,518","173,066","160,955","149,418","134,066","150,866","198,839","199,277","188,112","178,883","176,435","175,039","175,246","173,487","173,393","177,177","182,599","183,284","182,573","178,566","179,575",,,,,
83,"76,645","77,217","79,436","82,000","83,472","84,637","87,409","90,567","110,427","93,820","99,669","101,160","99,439","101,692","103,312","105,643","105,113","109,701","113,023","114,699","115,806","120,091","129,966","132,432","134,477","138,845","141,368","145,937","147,530","149,712","154,322","155,616","156,384","155,352","156,766","159,209","161,847","160,457","148,650","138,413","124,475","141,183","184,408","185,352","175,417","167,593","165,392","163,976","164,436","163,123","163,354","167,314","172,336","173,684","172,237","169,146",,,,,
84,"66,168","66,244","66,969","69,796","72,171","72,783","74,859","76,669","79,880","101,263","84,132","88,751","89,548","88,209","90,176","91,358","93,925","93,659","97,412","101,534","102,997","104,314","108,377","117,299","119,595","121,370","125,900","128,386","132,977","134,210","136,505","141,172","142,603","142,715","142,361","143,319","145,782","148,863","147,019","136,253","127,404","114,932","131,094","169,551","171,479","162,410","155,709","153,708","152,580","153,438","152,191","153,035","156,442","162,215","162,382","161,737",,,,,
85,"55,501","56,480","56,809","58,923","61,481","62,694","64,468","64,515","65,930","67,407","72,950","73,799","77,768","78,359","77,111","78,803","80,259","82,511","82,122","85,982","89,948","91,954","93,197","96,997","104,756","106,497","109,041","113,541","116,157","119,604","120,900","123,789","128,115","129,003","129,583","129,034","129,905","133,062","134,869","133,558","123,949","116,605","104,822","120,673","154,589","157,562","149,417","143,587","141,810","141,216","141,960","141,337","141,546","145,956","150,471","151,282",,,,,
86,"45,201","46,565","47,217","48,732","50,344","51,960","54,302","54,424","55,484","56,816","62,182","62,998","63,452","67,375","67,830","66,374","68,439","69,658","71,545","71,550","75,920","79,151","81,055","82,429","85,652","92,311","94,304","96,966","101,432","103,127","106,685","107,910","110,847","114,372","115,816","115,903","115,596","117,050","119,628","121,271","120,725","111,907","105,031","94,384","110,266","139,974","143,482","136,282","131,223","130,074","129,572","130,434","129,719","130,839","133,863","138,636",,,,,
87,"35,815","37,290","38,256","39,909","41,010","41,858","44,312","45,104","46,052","47,148","50,827","53,204","53,257","54,039","57,635","57,778","56,624","58,773","59,498","61,591","62,300","65,891","68,784","70,834","71,913","74,472","80,753","82,194","85,662","88,884","90,963","94,268","95,561","97,805","101,479","102,484","102,444","103,081","103,670","106,348","108,260","107,556","99,673","93,576","84,485","100,119","125,303","129,386","122,949","119,005","118,264","117,684","118,341","118,553","118,573","121,999",,,,,
88,"27,990","29,129","30,163","31,859","33,186","33,607","35,192","36,367","37,672","38,568","41,478","42,556","44,768","44,875","45,405","48,693","48,845","47,881","49,863","50,605","51,985","53,466","56,528","59,203","61,055","61,686","64,362","69,418","70,996","74,131","77,323","79,447","82,484","82,822","85,677","88,600","89,500","89,920","89,969","90,985","93,759","95,321","94,512","87,394","82,509","74,722","90,343","110,486","115,203","110,261","106,984","106,335","105,458","106,997","105,902","106,597",,,,,
89,"21,588","22,400","23,181","24,682","26,097","26,788","27,766","28,374","29,919","31,093","33,761","34,209","35,109","36,952","37,062","37,590","40,721","40,695","39,613","41,862","42,684","43,964","45,170","47,960","50,222","51,704","52,458","54,881","59,204","59,688","63,850","66,569","68,652","70,575","71,572","73,413","76,034","77,486","77,353","77,805","78,954","81,180","82,417","81,960","75,580","72,056","65,314","80,459","95,827","101,866","97,634","94,571","93,714","93,957","94,082","93,966",,,,,
90,"16,336","16,950","17,483","18,644","19,868","20,684","21,704","21,914","22,858","24,260","27,176","27,995","28,643","29,354","30,106","30,748","31,693","33,537","34,860","35,323","36,128","36,834","37,811","38,694","40,173","41,689","43,448","44,871","47,204","49,265","51,167","53,552","56,566","57,752","59,772","61,240","62,896","65,424","66,032","66,271","67,139","68,176","69,698","70,281","69,199","66,216","62,235","58,791","66,363","82,437","87,998","86,098","82,732","82,825","81,044","81,868",,,,,
91,"12,017","12,556","13,000","13,868","14,775","15,485","16,527","16,860","17,333","18,176","20,830","21,813","22,232","22,765","23,453","23,901","24,709","25,898","27,101","27,987","28,342","28,667","29,530","30,548","31,554","32,797","34,430","35,496","37,201","38,501","40,365","42,627","45,127","46,482","48,297","49,365","50,633","52,796","54,062","54,934","55,784","55,862","57,038","58,279","59,236","58,281","56,347","52,282","50,620","57,096","70,767","75,210","72,930","71,929","69,903","69,811",,,,,
92,"8,634","9,032","9,418","10,072","10,751","11,293","12,152","12,582","13,099","13,505","15,264","16,352","16,974","17,333","17,874","18,284","18,823","19,762","20,457","21,284","21,973","22,004","22,563","23,489","24,459","25,244","26,627","27,576","28,799","29,780","30,948","33,037","35,259","36,453","38,153","39,086","39,984","41,589","42,671","44,053","45,305","45,488","45,784","46,699","48,072","48,883","48,592","46,292","44,106","42,716","48,130","59,342","62,426","62,276","59,687","59,052",,,,,
93,"6,106","6,300","6,563","7,107","7,630","8,004","8,635","9,025","9,510","9,940","11,044","11,661","12,406","12,894","13,309","13,569","14,035","14,725","15,251","15,640","16,358","16,726","16,918","17,564","18,408","19,088","20,034","20,845","21,898","22,478","23,421","24,787","26,723","27,726","29,297","30,289","31,025","32,099","32,844","33,972","35,590","36,073","36,361","36,609","37,664","38,784","39,892","38,944","38,230","36,437","35,231","39,538","48,223","52,123","50,597","49,440",,,,,
94,"4,240","4,327","4,442","4,822","5,261","5,559","5,977","6,271","6,684","7,081","7,967","8,232","8,596","9,176","9,632","9,885","10,196","10,741","11,107","11,466","11,820","12,187","12,544","12,804","13,466","14,042","14,749","15,377","16,188","16,707","17,328","18,369","19,616","20,580","21,714","22,652","23,479","24,299","24,709","25,546","26,786","27,675","28,142","28,332","28,777","29,681","30,908","31,233","31,459","30,844","29,383","28,366","31,391","39,490","41,386","41,011",,,,,
95,"2,892","2,939","3,000","3,191","3,487","3,756","4,069","4,250","4,538","4,837","5,547","5,822","5,888","6,149","6,728","6,965","7,251","7,630","7,928","8,171","8,448","8,580","8,948","9,357","9,615","10,055","10,645","11,080","11,698","12,092","12,530","13,244","14,185","14,769","15,727","16,325","17,115","17,994","18,296","18,745","19,633","20,397","21,093","21,420","21,726","22,138","23,055","23,658","24,590","24,788","24,266","23,086","22,011","24,940","30,480","32,774",,,,,
96,"1,912","1,948","1,988","2,104","2,243","2,408","2,678","2,813","2,974","3,176","3,668","3,954","4,080","4,159","4,379","4,709","4,948","5,303","5,500","5,684","5,856","6,013","6,165","6,505","6,844","7,008","7,472","7,825","8,232","8,501","8,828","9,305","9,919","10,387","10,989","11,524","12,045","12,825","13,233","13,479","13,967","14,517","15,132","15,625","16,044","16,269","16,698","17,119","18,190","18,847","18,983","18,547","17,387","17,061","18,759","23,415",,,,,
97,"1,220","1,253","1,273","1,343","1,445","1,518","1,670","1,802","1,924","2,049","2,365","2,550","2,719","2,799","2,874","2,998","3,263","3,501","3,707","3,869","4,001","4,047","4,193","4,382","4,664","4,865","5,076","5,328","5,664","5,865","6,081","6,410","6,809","7,013","7,497","7,864","8,285","8,763","9,166","9,486","9,808","10,048","10,450","10,877","11,432","11,744","11,973","12,078","12,796","13,653","14,047","14,082","13,588","13,094","12,453","14,018",,,,,
98,758,782,801,840,905,961,"1,028","1,105","1,211","1,295","1,501","1,605","1,705","1,828","1,883","1,918","2,040","2,267","2,389","2,522","2,641","2,704","2,756","2,912","3,098","3,287","3,461","3,553","3,772","3,954","4,119","4,341","4,559","4,699","4,952","5,245","5,499","5,884","6,046","6,405","6,714","6,884","7,034","7,285","7,689","8,113","8,438","8,380","8,741","9,317","9,919","10,149","10,063","10,003","9,313","9,056",,,,,
99,450,473,490,524,555,583,632,657,722,800,928,992,"1,040","1,111","1,187","1,224","1,268","1,382","1,511","1,586","1,715","1,769","1,825","1,879","1,993","2,136","2,309","2,377","2,437","2,542","2,696","2,867","3,029","3,082","3,245","3,355","3,588","3,785","3,958","4,116","4,446","4,581","4,693","4,793","5,014","5,297","5,673","5,711","5,858","6,166","6,562","6,920","6,988","7,196","6,906","6,611",,,,,
100,255,278,292,319,345,352,373,391,415,473,563,601,633,657,702,756,791,834,905,982,"1,033","1,104","1,171","1,215","1,235","1,316","1,448","1,536","1,575","1,571","1,661","1,819","1,946","2,005","2,079","2,132","2,208","2,377","2,437","2,642","2,752","2,911","3,025","3,112","3,190","3,357","3,576","3,745","3,897","3,992","4,211","4,419","4,606","4,835","4,802","4,735",,,,,
101,132,147,158,177,198,209,224,229,234,254,311,352,375,387,400,438,476,488,521,550,597,633,685,744,785,787,860,923,983,991,"1,006","1,087","1,191","1,228","1,292","1,311","1,337","1,403","1,477","1,545","1,697","1,761","1,849","1,930","2,008","2,059","2,189","2,286","2,465","2,545","2,590","2,750","2,873","3,086","3,104","3,158",,,,,
102,74,71,83,94,107,118,132,138,137,137,158,194,218,218,227,243,268,290,293,308,315,353,384,423,462,487,497,539,573,590,614,631,684,734,761,783,804,835,847,900,980,"1,043","1,071","1,108","1,187","1,249","1,299","1,350","1,461","1,559","1,603","1,618","1,704","1,850","1,891","1,964",,,,,
103,41,38,39,49,58,65,71,79,75,72,87,100,117,124,123,135,150,158,172,171,170,177,216,234,254,290,304,304,325,338,351,382,390,406,449,469,456,466,484,510,538,571,598,629,660,703,750,754,831,901,942,971,974,"1,059","1,103","1,189",,,,,
104,19,19,19,21,27,34,39,42,42,36,41,49,57,63,65,71,82,85,89,98,94,94,102,130,142,159,180,178,179,187,197,210,235,227,247,263,263,264,263,267,298,305,310,344,358,391,414,422,438,500,536,551,561,582,615,663,,,,,
105+,16,25,20,20,25,26,32,38,46,47,37,34,45,53,58,63,72,85,95,103,98,99,103,107,121,150,179,188,197,196,211,227,241,260,272,282,295,293,271,271,290,323,338,350,371,390,441,467,490,520,596,639,644,681,704,770,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,"27,279,407","27,465,373","27,633,168","27,800,205","27,981,708","28,131,640","28,285,604","28,439,311","28,552,830","28,640,726","28,760,694","28,837,265","28,891,236","28,886,896","28,864,706","28,855,711","28,844,935","28,848,474","28,866,775","28,918,548","28,945,879","28,927,140","28,944,248","28,988,702","29,065,190","29,141,931","29,205,098","29,264,823","29,347,615","29,418,954","29,529,656","29,607,681","29,674,616","29,753,813","29,821,097","29,877,230","29,943,214","30,016,583","30,105,953","30,195,615","30,280,752","30,392,930","30,511,343","30,653,394","30,872,294","31,065,488","31,291,193","31,523,149","31,728,274","31,953,962","32,187,886","32,389,808","32,572,633","32,803,000","33,035,589","33,270,380",,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
